ix,polling_mean,polling_75,polling_median,polling_min,polling_25,party,polling_max,Bernie_Sanders,polling_avg_size,Donald_Trump,is_running_Ben_Carson,allCandRunning,Ben_Carson,twitter_25,twitter_75,Hillary_Clinton,twitter_mean,twitter_min,twitter_median,AFN120207,AGE135214,AGE295214,AGE775214,BPS030214,BZA010213,BZA110213,fraction_votes,votes,primary_date
0,28.31111111,33.2,40.89,35,0,1,17,0,1009.4,0,1,7,1,-0.559225,0.1366,0,0.077766667,-0.296,0.2294,88157,6,25.2,13.8,131,817,10120,0.146,1764,3/1/16
1,28.31111111,44.5,43,40,20,1,28.2,0,457.9444444,0,1,7,1,0,0,0,-0.01151,-0.6486,0,436955,5.6,22.2,18.7,1384,4871,54988,0.084,4221,3/1/16
2,28.31111111,44,44,44,0,1,12.8,0,1144,0,1,7,1,-0.3182,0.2388,0,0.077766667,-0.5994,0.15175,0,5.7,21.2,16.5,8,464,6611,0.122,417,3/1/16
3,28.31111111,41,40,44,17.75,1,24,0,400,0,1,7,1,0,-0.227675,0,-0.628166667,-0.6597,-0.555,10757,5.3,21,14.8,19,275,3145,0.099,393,3/1/16
4,28.31111111,83.975,65,77.9,33.5,1,42,0,1144,0,1,7,1,-0.3182,0.4404,0,0.02335,-0.748,0,20941,6.1,23.6,17,3,660,6798,0.1,1523,3/1/16
5,28.31111111,11,0,0,0,1,0,0,0,0,1,7,1,0,0,0,0.02612,-0.4824,0,3670,6.3,21.4,14.9,1,112,0,0.085,47,3/1/16
6,28.31111111,45,33,33,27,1,48,0,400,0,1,7,1,0.1424,0.07955,0,0.124655,0,0.2848,28427,6.1,23.6,18,2,393,5711,0.118,377,3/1/16
7,28.31111111,42.75,40,37,0,1,15,0,1009.4,0,1,7,1,-0.118075,0.2388,0,0.095425,-0.8316,0,186533,5.7,22.2,16,114,2311,34871,0.118,2350,3/1/16
8,28.31111111,44.5,40,40,50,1,61,0,400,0,1,7,1,0,0,0,0.033686667,-0.4767,0,23237,5.9,21.4,18.3,8,515,6431,0.131,595,3/1/16
9,28.31111111,29,35.4,29,0,1,17,0,400,0,1,7,1,0,0,0,0.066275,0,0,13948,4.8,20.4,20.9,2,379,3864,0.1,534,3/1/16
10,28.31111111,0,0,0,31.75,1,33.2,0,0,0,1,7,1,-0.224225,-0.227675,0,-0.628166667,-0.6597,-0.555,34073,6.4,24.2,15.2,78,703,7396,0.108,1149,3/1/16
11,28.31111111,27,22,17,0,1,17,0,400,0,1,7,1,0,-0.227675,0,-0.183714286,0,-0.1779,11345,4.9,20.6,20.8,0,255,2900,0.079,169,3/1/16
12,28.31111111,44.5,42,40,0,1,12.8,0,457.9444444,0,1,7,1,0,0,0,0,0,0,23596,5.6,22.6,18,11,586,6648,0.089,410,3/1/16
13,28.31111111,61,58,54,0,1,12.8,0,1144,0,1,7,1,0,0.2388,0,0.12117,-0.7906,0,4352,5.3,21.6,19.4,0,190,2993,0.122,492,3/1/16
14,28.31111111,12.1,0,0,40,1,46,0,0,0,1,7,1,0,0.1674,0,0.11351,-0.4404,0,4134,5.7,23.3,18.4,1,152,1548,0.1,437,3/1/16
15,28.31111111,48,52,49,37.5,1,47,0,400,0,1,7,1,0.1424,0.1674,0,0.11351,0,0.2848,50080,6.1,23.7,15.9,58,954,12762,0.132,1368,3/1/16
16,28.31111111,39.75,29,29,57,1,52,0,400,0,1,7,1,0,0,0,-0.012285,-0.6633,0,61935,5.7,21.7,18.5,143,1226,19820,0.109,884,3/1/16
17,28.31111111,34.75,30,27,17.75,1,24,0,400,0,1,7,1,0,0,0,0.02612,-0.5423,0,8667,5.5,21.4,20.4,3,194,2197,0.105,137,3/1/16
18,28.31111111,12.1,0,0,79.925,1,67.7,0,0,0,1,7,1,0,0,0,0.007175,-0.5994,0,575,4.8,18.3,18.5,0,93,992,0.09,201,3/1/16
19,28.31111111,0,0,0,0,1,0,0,0,0,1,7,1,0,0.28445,0,0.067245,-0.6808,0,30271,5.9,22.1,19.8,8,834,10824,0.133,1275,3/1/16
20,28.31111111,44.5,43,40,0,1,17,0,400,0,1,7,1,-0.0193,0,0,-0.012285,-0.6633,0,5640,6.1,22.7,18,2,211,3139,0.104,286,3/1/16
21,28.31111111,44.5,41,40,41.5,1,47,0,1144,0,1,7,1,-0.4003,0.394875,0,-0.028583333,-0.7845,0,102291,5.9,22.5,17.6,77,1714,22185,0.11,2301,3/1/16
22,28.31111111,33.2,35.4,33,43,1,43,0,400,0,1,7,1,0,0,0,-0.025144444,-0.6671,0,37229,6.3,23.6,15.4,17,766,11924,0.125,1150,3/1/16
23,28.31111111,83.975,65,77.9,0,1,12.8,0,1144,0,1,7,1,-0.03535,0.2388,0,0.11007,-0.8118,0.0516,33708,6.7,25.2,15.6,17,757,10420,0.053,46,3/1/16
24,28.31111111,0,0,0,31.75,1,36,0,0,0,1,7,1,0,0,0,0.062914286,0,0,67915,6.2,24.7,15.7,31,1082,16841,0.098,1285,3/1/16
25,28.31111111,0,0,0,26,1,23.54,0,0,0,1,7,1,-0.0193,-0.227675,0,-0.555,-0.5423,-0.555,47884,5.9,23,14,259,1135,14056,0.148,2630,3/1/16
26,28.31111111,31,28,20,23.5,1,23.54,0,400,0,1,7,1,0,0,0,0.062914286,0,0,31909,6.1,22,16.7,26,723,9977,0.102,585,3/1/16
27,28.31111111,12.1,0,0,0,1,0,0,0,0,1,7,1,0,0.4662,0,0.201381818,0,0,137966,5.7,22.1,17.3,79,2008,29796,0.112,2098,3/1/16
28,28.31111111,44.5,40,40,34,1,37,0,400,0,1,7,1,0,-0.227675,0,-0.1779,0,-0.1779,10869,5.4,21.7,19.6,0,306,3323,0.098,488,3/1/16
29,28.31111111,47.5,44,40,38.75,1,47,0,1144,0,1,7,1,0,0.401475,0,0.079435,-0.7277,0,25389,6.6,24.3,15.9,13,510,9369,0.093,388,3/1/16
30,28.31111111,0,0,0,20,1,23,0,0,0,1,7,1,-0.0193,0,0,0.02414,-0.5423,0,10402,5.8,22.2,19.2,8,400,3791,0.093,592,3/1/16
31,28.31111111,12.1,0,0,57,1,60,0,0,0,1,7,1,0,0.3612,0,0.067245,-0.8316,0,1226,5.9,23.3,17.9,4,99,1379,0.07,19,3/1/16
32,28.31111111,12.1,0,0,26,1,24,0,0,0,1,7,1,-0.051425,0,0,-0.073016667,-0.6486,0,3136,6.2,23.3,17.3,8,195,1966,0.078,88,3/1/16
33,28.31111111,12.1,11.4,10,0,1,12.8,0,1009.4,0,1,7,1,-0.4003,0.09505,0,-0.028583333,-0.7845,0,7415,5.5,21.2,20.8,17,293,2754,0.115,436,3/1/16
34,28.31111111,0,0,0,0,1,0,0,0,0,1,7,1,0,0.28445,0,0.069605,-0.7184,0,177224,6.2,23.7,16.1,311,2702,43139,0.114,2310,3/1/16
35,28.31111111,0,0,0,26,1,27,0,0,0,1,7,1,0,0.29295,0,0.181428571,0,0,39315,5.4,21.7,18.6,39,856,12440,0.108,1185,3/1/16
36,28.31111111,11,0,0,0,1,0,0,0,0,1,7,1,0,0.07955,0,0.124655,-0.4404,0,1268154,6.6,23.1,14.3,2280,16232,319199,0.089,8368,3/1/16
37,28.31111111,68,63,56,0,1,17,0,400,0,1,7,1,-0.044475,0.11315,0,-0.073016667,-0.296,0,6008,5,21.7,20.5,0,241,2943,0.096,344,3/1/16
38,28.31111111,47.5,40,40,31.75,1,36,0,1144,0,1,7,1,0,0.476775,0,0.14075,-0.5411,0,136587,5.2,20.5,18.2,54,1967,25839,0.121,2151,3/1/16
39,28.31111111,43.5,42.5,40,0,1,15,0,400,0,1,7,1,0,0,0,0,0,0,22719,5.3,21.7,16.8,0,407,4232,0.107,733,3/1/16
40,28.31111111,0,0,0,0,1,0,0,0,0,1,7,1,0,0.32365,0,0.16342,0,0,201205,5.8,21.6,10.3,943,2500,38782,0.117,2460,3/1/16
41,28.31111111,44.5,40,40,40.25,1,43,0,400,0,1,7,1,-0.074,0,0,-0.073016667,-0.296,0,68140,5.9,23.4,13.8,140,1308,15305,0.108,2061,3/1/16
42,28.31111111,49.05,40,44,41.5,1,46,0,1144,0,1,7,1,0,0.401475,0,0.11007,-0.7845,0,595,6.7,23.1,17.4,5,98,1835,0.105,88,3/1/16
43,28.31111111,39.75,27,26,46.75,1,67,0,400,0,1,7,1,0,0.252375,0,0.14042,-0.3164,0,19354,4.7,18.3,16.8,1,217,5381,0.127,94,3/1/16
44,28.31111111,12.1,0,0,43.7,1,50,0,0,0,1,7,1,-0.050575,0.5754,0,0.201381818,-0.5411,0,596324,5.8,22.4,13.7,2677,8095,153304,0.096,6293,3/1/16
45,28.31111111,57,57,54,33.5,1,44.8,0,1144,0,1,7,1,-0.3182,0.476775,0,0.077766667,-0.5994,0.2957,16684,6,23,18.6,0,478,5876,0.079,85,3/1/16
46,28.31111111,39.75,33.2,34,0,1,12.8,0,490.75,0,1,7,1,-0.044475,0.36595,0,0.128125,-0.3164,0,19081,5.4,21.2,20.1,0,547,8006,0.089,589,3/1/16
47,28.31111111,0,0,0,48.5,1,67,0,0,0,1,7,1,0,0.48585,0,0.201381818,0,0.2294,103539,6.6,24.5,16.3,28,1795,30306,0.098,1813,3/1/16
48,28.31111111,0,0,0,56,1,52,0,0,0,1,7,1,0.16215,0.6724,0,0.4404,0,0.4404,562436,6.7,24,14.5,746,8567,147574,0.077,4824,3/1/16
49,28.31111111,31,28,20,40.5,1,47,0,1009.4,0,1,7,1,-0.559225,0.222,0,-0.028583333,-0.7845,0,14796,5.5,23.4,17.9,0,393,5029,0.099,373,3/1/16
50,28.31111111,27,17,15.87,34,1,44,0,1337,0,1,7,1,0,0.0193,0,0.033686667,-0.7579,0,402861,6.8,24,13.3,734,5533,101517,0.127,3379,3/1/16
51,28.31111111,45,36,33,0,1,15,0,1009.4,0,1,7,1,-0.559225,0,0,-0.028583333,-0.8625,0,154700,6,23.1,15.9,136,2589,42569,0.114,2790,3/1/16
52,28.31111111,33,41,29,0,1,12.8,0,1009.4,0,1,7,1,-0.559225,0.085,0,-0.0447,-0.5994,0,2632,5.5,22.4,17.9,0,125,1570,0.04,15,3/1/16
53,28.31111111,12.1,0,0,43.7,1,49,0,0,0,1,7,1,0,0.29295,0,0.178661538,-0.1232,0,6302,5.2,20.5,17.8,3,266,2707,0.113,287,3/1/16
54,28.31111111,0,32,15.87,65,1,67.7,0,400,0,1,7,1,0,0.252375,0,0.14042,0,0,45692,5.7,19.4,14.1,44,628,11009,0.129,698,3/1/16
55,28.31111111,12.1,0,0,46.75,1,67,0,0,0,1,7,1,0,0.336725,0,0.16342,0,0,9241,5.7,22,19.6,0,340,3481,0.093,426,3/1/16
56,28.31111111,35.25,27,26,31.75,1,33.2,0,1009.4,0,1,7,1,-0.4003,0.09505,0,-0.0447,-0.7351,0,56392,7.6,25.3,12.5,244,783,10489,0.079,298,3/1/16
57,28.31111111,41,47,45,45,1,47,0,400,0,1,7,1,0,0,0,0.062914286,0,0,70254,6.1,23,15.3,80,1266,15265,0.109,2093,3/1/16
58,28.31111111,12.1,0,0,79.925,1,65,0,0,0,1,7,1,-0.050575,0.574275,0,0.163565,-0.5267,0,301893,6,24.4,13,896,4845,76137,0.094,5005,3/1/16
59,28.31111111,44.5,42.5,45,0,1,12.8,0,1144,0,1,7,1,-0.3182,0.2388,0,0.077766667,-0.5994,0.15175,8199,4.8,19.7,16.3,3,202,2966,0.075,21,3/1/16
60,28.31111111,0,0,0,79.925,1,67.7,0,0,0,1,7,1,0,0,0,0.022931579,-0.4404,0,67078,5.5,22.3,16.1,65,1230,23763,0.095,1179,3/1/16
61,28.31111111,12.1,0,0,0,1,0,0,0,0,1,7,1,0,0,0,0,0,0,28222,5.8,21.1,19.6,16,721,10771,0.114,1006,3/1/16
62,28.31111111,11,0,0,27,1,24,0,0,0,1,7,1,0,0,0,-0.01536,-0.6486,0,327429,6,21.1,11.7,1375,4009,72917,0.106,3310,3/1/16
63,28.31111111,34.75,27,26,33.5,1,33.2,0,1009.4,0,1,7,1,-0.4003,0.09505,0,-0.028583333,-0.7845,0,73895,5.8,22.1,18.2,8,1250,15669,0.09,1369,3/1/16
64,28.31111111,34,34,33,0,1,17,0,400,0,1,7,1,0,0,0,0,0,0,0,4.9,22.5,17,2,217,5756,0.064,152,3/1/16
65,28.31111111,11,0,0,40.5,1,47,0,0,0,1,7,1,0,0,0,0.062914286,0,0,12949,5.7,24.8,17.7,0,189,1738,0.083,44,3/1/16
66,28.31111111,65,60.5,65,41,1,47,0,1144,0,1,7,1,0,0.1674,0,0.123725,0,0,16564,5,20.9,20,7,439,6321,0.09,539,3/1/16
67,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,37229,6.3,23.6,15.4,17,766,11924,0.207,415,3/1/16
68,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,10869,5.4,21.7,19.6,0,306,3323,0.172,148,3/1/16
69,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,56392,7.6,25.3,12.5,244,783,10489,0.164,988,3/1/16
70,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,136587,5.2,20.5,18.2,54,1967,25839,0.309,1745,3/1/16
71,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,301893,6,24.4,13,896,4845,76137,0.354,3755,3/1/16
72,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,10402,5.8,22.2,19.2,8,400,3791,0.216,157,3/1/16
73,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,14796,5.5,23.4,17.9,0,393,5029,0.076,205,3/1/16
74,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,327429,6,21.1,11.7,1375,4009,72917,0.218,3444,3/1/16
75,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,3136,6.2,23.3,17.3,8,195,1966,0.14,427,3/1/16
76,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,402861,6.8,24,13.3,734,5533,101517,0.128,4266,3/1/16
77,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,4352,5.3,21.6,19.4,0,190,2993,0.137,135,3/1/16
78,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,177224,6.2,23.7,16.1,311,2702,43139,0.201,780,3/1/16
79,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,0,5.7,21.2,16.5,8,464,6611,0.078,222,3/1/16
80,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,13948,4.8,20.4,20.9,2,379,3864,0.249,268,3/1/16
81,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,154700,6,23.1,15.9,136,2589,42569,0.252,1345,3/1/16
82,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,102291,5.9,22.5,17.6,77,1714,22185,0.345,723,3/1/16
83,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,20941,6.1,23.6,17,3,660,6798,0.386,395,3/1/16
84,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,68140,5.9,23.4,13.8,140,1308,15305,0.255,1120,3/1/16
85,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,28427,6.1,23.6,18,2,393,5711,0.065,156,3/1/16
86,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,61935,5.7,21.7,18.5,143,1226,19820,0.225,1342,3/1/16
87,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,6008,5,21.7,20.5,0,241,2943,0.241,173,3/1/16
88,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,4134,5.7,23.3,18.4,1,152,1548,0.238,72,3/1/16
89,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,5640,6.1,22.7,18,2,211,3139,0.103,107,3/1/16
90,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,8199,4.8,19.7,16.3,3,202,2966,0.113,416,3/1/16
91,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,562436,6.7,24,14.5,746,8567,147574,0.162,5672,3/1/16
92,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,9241,5.7,22,19.6,0,340,3481,0.187,328,3/1/16
93,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,103539,6.6,24.5,16.3,28,1795,30306,0.341,821,3/1/16
94,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,1268154,6.6,23.1,14.3,2280,16232,319199,0.174,14319,3/1/16
95,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,12949,5.7,24.8,17.7,0,189,1738,0.104,410,3/1/16
96,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,67915,6.2,24.7,15.7,31,1082,16841,0.323,667,3/1/16
97,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,67078,5.5,22.3,16.1,65,1230,23763,0.122,782,3/1/16
98,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,1226,5.9,23.3,17.9,4,99,1379,0.071,213,3/1/16
99,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,19354,4.7,18.3,16.8,1,217,5381,0.1,483,3/1/16
100,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,31909,6.1,22,16.7,26,723,9977,0.099,226,3/1/16
101,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,436955,5.6,22.2,18.7,1384,4871,54988,0.329,2694,3/1/16
102,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,3670,6.3,21.4,14.9,1,112,0,0.066,178,3/1/16
103,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,137966,5.7,22.1,17.3,79,2008,29796,0.226,1289,3/1/16
104,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,186533,5.7,22.2,16,114,2311,34871,0.218,1425,3/1/16
105,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,28222,5.8,21.1,19.6,16,721,10771,0.102,308,3/1/16
106,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,22719,5.3,21.7,16.8,0,407,4232,0.162,428,3/1/16
107,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,30271,5.9,22.1,19.8,8,834,10824,0.197,188,3/1/16
108,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,16684,6,23,18.6,0,478,5876,0.2,1092,3/1/16
109,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,39315,5.4,21.7,18.6,39,856,12440,0.269,510,3/1/16
110,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,33708,6.7,25.2,15.6,17,757,10420,0.154,1774,3/1/16
111,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,23596,5.6,22.6,18,11,586,6648,0.063,213,3/1/16
112,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,73895,5.8,22.1,18.2,8,1250,15669,0.275,727,3/1/16
113,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,11345,4.9,20.6,20.8,0,255,2900,0.124,273,3/1/16
114,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,23237,5.9,21.4,18.3,8,515,6431,0.095,312,3/1/16
115,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,88157,6,25.2,13.8,131,817,10120,0.182,544,3/1/16
116,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,595,6.7,23.1,17.4,5,98,1835,0.077,330,3/1/16
117,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,70254,6.1,23,15.3,80,1266,15265,0.286,745,3/1/16
118,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,50080,6.1,23.7,15.9,58,954,12762,0.201,389,3/1/16
119,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,7415,5.5,21.2,20.8,17,293,2754,0.119,163,3/1/16
120,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,45692,5.7,19.4,14.1,44,628,11009,0.145,379,3/1/16
121,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,0,4.9,22.5,17,2,217,5756,0.214,562,3/1/16
122,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,25389,6.6,24.3,15.9,13,510,9369,0.301,767,3/1/16
123,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,47884,5.9,23,14,259,1135,14056,0.184,694,3/1/16
124,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,19081,5.4,21.2,20.1,0,547,8006,0.296,256,3/1/16
125,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,2632,5.5,22.4,17.9,0,125,1570,0.124,389,3/1/16
126,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,6302,5.2,20.5,17.8,3,266,2707,0.148,453,3/1/16
127,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,34073,6.4,24.2,15.2,78,703,7396,0.246,289,3/1/16
128,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,201205,5.8,21.6,10.3,943,2500,38782,0.254,2464,3/1/16
129,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,10757,5.3,21,14.8,19,275,3145,0.197,246,3/1/16
130,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,8667,5.5,21.4,20.4,3,194,2197,0.191,544,3/1/16
131,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,16564,5,20.9,20,7,439,6321,0.304,138,3/1/16
132,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,575,4.8,18.3,18.5,0,93,992,0.108,125,3/1/16
133,27,29,27,23,25,0,31,1,400,0,1,7,0,-0.044475,0.1674,0,0.122925,-0.1779,0,596324,5.8,22.4,13.7,2677,8095,153304,0.301,8786,3/1/16
134,39.36,42,36,35.8,36,1,47,0,1009.4,1,1,7,0,-0.118075,0.415575,0,0.100625,-0.8765,0,4352,5.3,21.6,19.4,0,190,2993,0.476,1920,3/1/16
135,39.36,42,36,35.8,36,1,47,0,1009.4,1,1,7,0,-0.118075,0.415575,0,0.100625,-0.8765,0,45692,5.7,19.4,14.1,44,628,11009,0.46,2493,3/1/16
136,39.36,42,36,35.8,36,1,47,0,1009.4,1,1,7,0,-0.118075,0.415575,0,0.100625,-0.8765,0,5640,6.1,22.7,18,2,211,3139,0.545,1496,3/1/16
137,39.36,42,36,35.8,36,1,47,0,1009.4,1,1,7,0,-0.118075,0.415575,0,0.100625,-0.8765,0,19081,5.4,21.2,20.1,0,547,8006,0.529,3503,3/1/16
138,39.36,42,36,35.8,36,1,47,0,1009.4,1,1,7,0,-0.118075,0.415575,0,0.100625,-0.8765,0,20941,6.1,23.6,17,3,660,6798,0.487,7390,3/1/16
139,39.36,42,36,35.8,36,1,47,0,1009.4,1,1,7,0,-0.118075,0.415575,0,0.100625,-0.8765,0,61935,5.7,21.7,18.5,143,1226,19820,0.474,3858,3/1/16
140,39.36,42,36,35.8,36,1,47,0,1009.4,1,1,7,0,-0.118075,0.415575,0,0.100625,-0.8765,0,70254,6.1,23,15.3,80,1266,15265,0.446,8596,3/1/16
141,39.36,42,36,35.8,36,1,47,0,1009.4,1,1,7,0,-0.118075,0.415575,0,0.100625,-0.8765,0,39315,5.4,21.7,18.6,39,856,12440,0.499,5463,3/1/16
142,39.36,42,36,35.8,36,1,47,0,1009.4,1,1,7,0,-0.118075,0.415575,0,0.100625,-0.8765,0,8667,5.5,21.4,20.4,3,194,2197,0.59,768,3/1/16
143,39.36,42,36,35.8,36,1,47,0,1009.4,1,1,7,0,-0.118075,0.415575,0,0.100625,-0.8765,0,562436,6.7,24,14.5,746,8567,147574,0.452,28326,3/1/16
144,39.36,42,36,35.8,36,1,47,0,1009.4,1,1,7,0,-0.118075,0.415575,0,0.100625,-0.8765,0,1226,5.9,23.3,17.9,4,99,1379,0.538,147,3/1/16
145,39.36,42,36,35.8,36,1,47,0,1009.4,1,1,7,0,-0.118075,0.415575,0,0.100625,-0.8765,0,33708,6.7,25.2,15.6,17,757,10420,0.597,523,3/1/16
146,39.36,42,36,35.8,36,1,47,0,1009.4,1,1,7,0,-0.118075,0.415575,0,0.100625,-0.8765,0,73895,5.8,22.1,18.2,8,1250,15669,0.551,8394,3/1/16
147,39.36,42,36,35.8,36,1,47,0,1009.4,1,1,7,0,-0.118075,0.415575,0,0.100625,-0.8765,0,12949,5.7,24.8,17.7,0,189,1738,0.544,287,3/1/16
148,39.36,42,36,35.8,36,1,47,0,1009.4,1,1,7,0,-0.118075,0.415575,0,0.100625,-0.8765,0,31909,6.1,22,16.7,26,723,9977,0.493,2817,3/1/16
149,39.36,42,36,35.8,36,1,47,0,1009.4,1,1,7,0,-0.118075,0.415575,0,0.100625,-0.8765,0,25389,6.6,24.3,15.9,13,510,9369,0.515,2155,3/1/16
150,39.36,42,36,35.8,36,1,47,0,1009.4,1,1,7,0,-0.118075,0.415575,0,0.100625,-0.8765,0,436955,5.6,22.2,18.7,1384,4871,54988,0.469,23618,3/1/16
151,39.36,42,36,35.8,36,1,47,0,1009.4,1,1,7,0,-0.118075,0.415575,0,0.100625,-0.8765,0,103539,6.6,24.5,16.3,28,1795,30306,0.495,9115,3/1/16
