,State,Primary,Candidate,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19
105,Massachusetts,Democrat,Clinton,0,0,0,0,0.508,0.3365,,,,,,,,,,,,,,
106,Massachusetts,Democrat,Sanders,0,0.0772,0,0.4374,0.68,0,0,0.4404,0,0.5994,0,0,,,,,,,,
107,Massachusetts,Republican,Rubio,0.34,0,-0.4019,0,,,,,,,,,,,,,,,,
108,Massachusetts,Republican,Cruz,0,-0.483,,,,,,,,,,,,,,,,,,
109,Massachusetts,Republican,Trump,0,0,-0.7574,-0.4404,-0.5574,-0.1027,0.5719,,,,,,,,,,,,,
110,Michigan,Democrat,Clinton,,,,,,,,,,,,,,,,,,,,
111,Michigan,Democrat,Sanders,0,0,0.7263,-0.6597,,,,,,,,,,,,,,,,
112,Michigan,Republican,Rubio,,,,,,,,,,,,,,,,,,,,
113,Michigan,Republican,Cruz,,,,,,,,,,,,,,,,,,,,
114,Michigan,Republican,Trump,0.8949,0.6124,0,0,0.5068,,,,,,,,,,,,,,,
115,Minnesota,Democrat,Clinton,,,,,,,,,,,,,,,,,,,,
116,Minnesota,Democrat,Sanders,0.4404,0.1511,0,,,,,,,,,,,,,,,,,
117,Minnesota,Republican,Rubio,0.8221,,,,,,,,,,,,,,,,,,,
118,Minnesota,Republican,Cruz,,,,,,,,,,,,,,,,,,,,
119,Minnesota,Republican,Trump,0.5661,,,,,,,,,,,,,,,,,,,
120,Mississippi,Democrat,Clinton,0,0.4404,0.8555,0,0,0,0.7345,0,0,-0.2732,0,-0.128,0.6588,-0.6124,-0.6124,-0.6124,-0.6124,0.296,,
121,Mississippi,Democrat,Sanders,0,,,,,,,,,,,,,,,,,,,
122,Mississippi,Republican,Rubio,0,,,,,,,,,,,,,,,,,,,
123,Mississippi,Republican,Cruz,,,,,,,,,,,,,,,,,,,,
124,Mississippi,Republican,Trump,0,0,0,0,0,0,,,,,,,,,,,,,,
125,Missouri,Democrat,Clinton,0,0,-0.296,0.5781,,,,,,,,,,,,,,,,
126,Missouri,Democrat,Sanders,0.4767,0,0,0,0,0.4939,0,0,0,-0.5411,0,0,0,-0.6597,0,0,0,0,0,0
127,Missouri,Republican,Rubio,0.4019,0,0,0.1531,,,,,,,,,,,,,,,,
128,Missouri,Republican,Cruz,0.4019,0,0,-0.3182,0,0.4184,0,-0.7284,0,,,,,,,,,,,
129,Missouri,Republican,Trump,0.2732,-0.4019,0,0,-0.6808,0,0,-0.5684,0,-0.5423,0,0,0.6249,-0.7284,0.7339,0.6369,-0.4393,0,0,0
130,Montana,Democrat,Clinton,0.34,0.3612,0.5719,,,,,,,,,,,,,,,,,
131,Montana,Democrat,Sanders,0,,,,,,,,,,,,,,,,,,,
132,Montana,Republican,Rubio,,,,,,,,,,,,,,,,,,,,
133,Montana,Republican,Cruz,,,,,,,,,,,,,,,,,,,,
134,Montana,Republican,Trump,0,0,,,,,,,,,,,,,,,,,,
135,Nebraska,Democrat,Clinton,,,,,,,,,,,,,,,,,,,,
136,Nebraska,Democrat,Sanders,0,,,,,,,,,,,,,,,,,,,
137,Nebraska,Republican,Rubio,,,,,,,,,,,,,,,,,,,,
138,Nebraska,Republican,Cruz,,,,,,,,,,,,,,,,,,,,
139,Nebraska,Republican,Trump,,,,,,,,,,,,,,,,,,,,
140,Nevada,Democrat,Clinton,0.7269,,,,,,,,,,,,,,,,,,,
141,Nevada,Democrat,Sanders,,,,,,,,,,,,,,,,,,,,
142,Nevada,Republican,Rubio,,,,,,,,,,,,,,,,,,,,
143,Nevada,Republican,Cruz,0,0.5859,0,,,,,,,,,,,,,,,,,
144,Nevada,Republican,Trump,,,,,,,,,,,,,,,,,,,,
145,New Hampshire,Democrat,Clinton,-0.0516,0,0.2263,0,0,0,,,,,,,,,,,,,,
146,New Hampshire,Democrat,Sanders,0,0.2263,0,0,0,0.6705,,,,,,,,,,,,,,
147,New Hampshire,Republican,Rubio,0.4588,-0.2755,0,0,0.5149,0.5267,,,,,,,,,,,,,,
148,New Hampshire,Republican,Cruz,-0.2755,-0.5696,-0.0516,0.6331,0.5267,,,,,,,,,,,,,,,
149,New Hampshire,Republican,Trump,0,0.5053,-0.2755,0,0.6037,0,0.5267,,,,,,,,,,,,,
150,New Jersey,Democrat,Clinton,0,0,0,0,0,0,0,0,0,0,-0.4767,0,0,0,-0.561,0,,,,
151,New Jersey,Democrat,Sanders,0,0,-0.5255,0,0,-0.296,0.4588,-0.6303,0.1027,0.1027,0,-0.6588,0,0.1779,0,0,-0.7412,,,
152,New Jersey,Republican,Rubio,0,0,0,0,0,0,0,,,,,,,,,,,,,
153,New Jersey,Republican,Cruz,-0.2732,-0.2732,-0.2732,0.836,0,0,0.4404,0.4574,-0.5719,0,0,,,,,,,,,
154,New Jersey,Republican,Trump,0,0,0,-0.0516,0.2263,0.4939,0,-0.228,-0.5684,-0.4033,0.4939,0.2263,0.5622,0,0.0258,0,-0.6369,-0.6369,-0.5423,0
155,New Mexico,Democrat,Clinton,-0.1531,0,0,0,0,0,0,0,0,0,0.3612,,,,,,,,,
156,New Mexico,Democrat,Sanders,0,0,0.3715,0,0,0,0,0,-0.34,0,-0.1531,0,0,0,0,0,0,-0.4824,0.7125,0
157,New Mexico,Republican,Rubio,,,,,,,,,,,,,,,,,,,,
158,New Mexico,Republican,Cruz,-0.6597,-0.6124,-0.6124,,,,,,,,,,,,,,,,,
159,New Mexico,Republican,Trump,0,0,0,0,,,,,,,,,,,,,,,,
160,New York,Democrat,Clinton,0,0,0,0,0,0.6369,-0.3089,-0.5423,-0.5423,-0.5423,0,0,0.6249,0,0,0,0,-0.1027,0.6369,0
161,New York,Democrat,Sanders,0,0.4019,0,0,0.4902,0.4738,0,0.4215,-0.2006,-0.7277,0,0.6369,0,0,0,0,0,0,0,0.2003
162,New York,Republican,Rubio,,,,,,,,,,,,,,,,,,,,
163,New York,Republican,Cruz,-0.296,0,0,0,0,0,-0.6633,0,0,0,0,0.2677,,,,,,,,
164,New York,Republican,Trump,0.5859,0.1531,0.4404,0,-0.5411,0,0.1027,0,0,0,0,0,0.4927,0.3738,0.6562,0.2677,0,0,-0.4588,0.4019
165,North Carolina,Democrat,Clinton,0,0,0.4404,0.5106,0.2732,0,0.1531,0,0,0,0,0,0,0,0.3612,0,0.5684,0,,
166,North Carolina,Democrat,Sanders,0,0,0,0.5267,0,0,-0.296,0.4738,0,0,0,0,0.4404,0,0,0,0,0,0,0
167,North Carolina,Republican,Rubio,0,0,0.5267,0.4926,-0.4404,-0.5719,-0.784,0,0,0,-0.5448,0.4404,-0.2023,,,,,,,
168,North Carolina,Republican,Cruz,0,0.743,0,0,0,0,0,-0.5423,0.4939,0.4215,0,-0.3094,0.431,0,0.1779,0,0.6319,0,0,-0.4588
169,North Carolina,Republican,Trump,0,0.7717,0.743,-0.25,0,0,0,0,-0.6124,0,0,-0.8877,0.508,0.6249,-0.4926,-0.4404,-0.4003,,,
170,North Dakota,Democrat,Clinton,,,,,,,,,,,,,,,,,,,,
171,North Dakota,Democrat,Sanders,,,,,,,,,,,,,,,,,,,,
172,North Dakota,Republican,Rubio,,,,,,,,,,,,,,,,,,,,
173,North Dakota,Republican,Cruz,,,,,,,,,,,,,,,,,,,,
174,North Dakota,Republican,Trump,,,,,,,,,,,,,,,,,,,,
175,Ohio,Democrat,Clinton,0,-0.296,0,0,0,0.3612,-0.4184,-0.1027,0,0.368,0,0,0,0,0,0,0,0,0.5423,-0.3612
176,Ohio,Democrat,Sanders,0.8271,0.3612,0,0.4926,0,0,0,0.5067,0.34,0,0,-0.34,0.6468,0,0,0,0.802,0.4836,0,0
177,Ohio,Republican,Rubio,0.5719,0,0.8074,0,0.5859,-0.7184,0,-0.7003,0,0.8014,0.224,0,0.7424,0,-0.2023,0.4404,0,0,-0.4215,0.6956
178,Ohio,Republican,Cruz,0,-0.296,-0.4215,0,0,0.368,0.647,0,0,-0.7184,0.6865,0,0.1007,0.4753,0.4754,0,-0.7184,0,0.8014,0
179,Ohio,Republican,Trump,0,-0.1531,0.3612,0.4588,0,-0.6124,0,-0.2023,0.6369,0,0.6249,0.3612,0.4795,-0.6486,-0.2263,0,0,0.7717,0.5719,0
180,Oklahoma,Democrat,Clinton,-0.3761,0.5095,0,0,0.4404,0,0.4215,0,0,0,0.4019,0.4738,0.5574,0.1901,0.0571,,,,,
181,Oklahoma,Democrat,Sanders,0,0.7684,0.876,0.3612,0.7263,0.6486,0.3612,0,0,0,0.5378,0,0,0,0,0,0.5267,0.1129,0,0
182,Oklahoma,Republican,Rubio,0,0.3071,0.8122,0,0,0,0,0.7783,0,0.7717,-0.1027,0.5853,0.1027,0.3612,0.5563,0,0.4199,-0.6908,0,0
183,Oklahoma,Republican,Cruz,0.6696,0,0.7783,-0.6808,0.4199,0,0.0516,-0.34,0,0,0.4466,0.7717,0,0,0,0,0,0,0.0772,-0.802
184,Oklahoma,Republican,Trump,-0.296,0,0.3612,0,0.5023,0,0,0,0.7717,0.1027,0.6996,0.3612,0.6486,-0.1027,-0.3164,0.4019,0.4753,-0.296,0,0
185,Oregon,Democrat,Clinton,,,,,,,,,,,,,,,,,,,,
186,Oregon,Democrat,Sanders,,,,,,,,,,,,,,,,,,,,
187,Oregon,Republican,Rubio,,,,,,,,,,,,,,,,,,,,
188,Oregon,Republican,Cruz,,,,,,,,,,,,,,,,,,,,
189,Oregon,Republican,Trump,0.25,-0.5994,0.5106,-0.34,,,,,,,,,,,,,,,,
190,Pennsylvania,Democrat,Clinton,-0.2732,0,0.6892,0,0,0,0,0,0,0.6988,0.5837,,,,,,,,,
191,Pennsylvania,Democrat,Sanders,0,0,0.7238,0,0,0,0.3612,0,0.4404,0,-0.3818,0.7184,0,0,0.1531,,,,,
192,Pennsylvania,Republican,Rubio,,,,,,,,,,,,,,,,,,,,
193,Pennsylvania,Republican,Cruz,-0.2755,0,-0.4215,0,0,0,-0.296,0.4404,,,,,,,,,,,,
194,Pennsylvania,Republican,Trump,0,0.5423,-0.4767,0.1531,-0.2755,0,0,0,0,0.4404,0.3612,0,0.5893,0.5859,0,0.4749,-0.5574,0.3535,0,-0.5267
195,Rhode Island,Democrat,Clinton,0,0,,,,,,,,,,,,,,,,,,
196,Rhode Island,Democrat,Sanders,0,0,-0.2263,0,0,0,-0.34,0,0,0,0,0.5267,0,0,0,0,0,0,0.4926,0
197,Rhode Island,Republican,Rubio,,,,,,,,,,,,,,,,,,,,
198,Rhode Island,Republican,Cruz,0,0.6369,0.3802,,,,,,,,,,,,,,,,,
199,Rhode Island,Republican,Trump,0.5574,0,0,0.3612,-0.8316,,,,,,,,,,,,,,,
200,South Carolina,Democrat,Clinton,0,0.5859,0,0.4003,0,0,,,,,,,,,,,,,,
201,South Carolina,Democrat,Sanders,0.6266,0.34,0,0.1779,0.4389,-0.68,0,-0.296,0,0,0,0,0,-0.2263,0,0,0,0.6705,0,0
202,South Carolina,Republican,Rubio,0,0,-0.7717,0.4199,0,-0.6706,-0.2924,0.3724,0,0,0,0,0,0,-0.4215,0.3818,0.636,0.4215,0.6249,0.3182
203,South Carolina,Republican,Cruz,0.4926,0,0.2905,-0.6706,0.6449,0,0.4215,0,-0.296,0.4954,-0.4215,0.3818,0.636,-0.7081,0.4574,0,0.5093,0.6696,0.6103,0
204,South Carolina,Republican,Trump,0,-0.8118,-0.4374,0.2905,-0.6706,0.6249,-0.0129,-0.3296,0.4574,-0.1027,0.3612,0,0,0,0.658,0.6808,0,0,0,0.3818
205,South Dakota,Democrat,Clinton,,,,,,,,,,,,,,,,,,,,
206,South Dakota,Democrat,Sanders,0,,,,,,,,,,,,,,,,,,,
207,South Dakota,Republican,Rubio,,,,,,,,,,,,,,,,,,,,
208,South Dakota,Republican,Cruz,,,,,,,,,,,,,,,,,,,,
209,South Dakota,Republican,Trump,,,,,,,,,,,,,,,,,,,,
210,Tennessee,Democrat,Clinton,0,0,0,0.6249,0.0772,,,,,,,,,,,,,,,
211,Tennessee,Democrat,Sanders,-0.1655,0,0,0,0.8126,0,0,0,0,0,0,0,0,0,0,0,0.5707,-0.1531,0,0
212,Tennessee,Republican,Rubio,-0.4404,0.4574,0,0,0,0,0.6486,0,0.7777,0,0,0,0,0,0,0,0,0.3182,0.7574,-0.0258
213,Tennessee,Republican,Cruz,0,0,0.7506,0.5994,-0.6808,0,-0.4767,0,0.6369,-0.7906,0,0,0,-0.6597,0.4767,-0.6239,0.3802,-0.4767,-0.0258,-0.2003
214,Tennessee,Republican,Trump,0,0,-0.4404,-0.0772,0,0.4404,0.4215,0,0.836,0.4574,0,0,0.6239,-0.2755,-0.2755,0.8715,0,0,0.6892,0
215,Texas,Democrat,Clinton,0.4939,0.3971,0,0,0,0,0.4404,-0.4767,-0.4215,0,0,0.5719,0.2263,0,0,0,0,0,0,0
216,Texas,Democrat,Sanders,0.743,0.2732,0,0.128,0,0.4939,0,-0.1511,0,0,0,0,-0.2263,0,0,0,0,0,0.6124,0.3971
217,Texas,Republican,Rubio,-0.2755,-0.4767,-0.5267,0,0,0,0,0.4871,0.6705,-0.3818,0,0,-0.2023,0.8743,0.4019,0,0.296,0.7345,0.8875,0.5541
218,Texas,Republican,Cruz,0.4019,0.5882,0.4738,0.7783,-0.4767,0,-0.5267,0,0,0,0,0.4995,0,0,0,0,0.3612,0,0.3182,0.3971
219,Texas,Republican,Trump,-0.0516,0,0,0.2732,0.743,-0.5423,0.5994,-0.5994,0.5994,0,-0.6808,0.6249,0.7269,0.25,0,0,0,0,0,0.5106
220,Utah,Democrat,Clinton,,,,,,,,,,,,,,,,,,,,
221,Utah,Democrat,Sanders,0,0,0,0.6369,0,0,0,0,0,0,-0.2235,0,0.3612,0,0,0.34,0,0,0,0
222,Utah,Republican,Rubio,,,,,,,,,,,,,,,,,,,,
223,Utah,Republican,Cruz,-0.296,0,0,0,0,0,0,0,0,0,0.4574,,,,,,,,,
224,Utah,Republican,Trump,0.4404,-0.1655,-0.3716,-0.4926,-0.34,0,-0.3802,0,0,0,-0.25,0,0.7597,,,,,,,
225,Vermont,Democrat,Clinton,,,,,,,,,,,,,,,,,,,,
226,Vermont,Democrat,Sanders,0.5859,0.3612,-0.296,,,,,,,,,,,,,,,,,
227,Vermont,Republican,Rubio,,,,,,,,,,,,,,,,,,,,
228,Vermont,Republican,Cruz,,,,,,,,,,,,,,,,,,,,
229,Vermont,Republican,Trump,-0.1779,0.0101,0.4019,0.4767,,,,,,,,,,,,,,,,
230,Virginia,Democrat,Clinton,0,0.5696,,,,,,,,,,,,,,,,,,
231,Virginia,Democrat,Sanders,0.9169,0.7901,0.7324,0,0,0,0.6124,0,0,0.5411,0.4404,,,,,,,,,
232,Virginia,Republican,Rubio,0.4939,-0.8625,0.8544,-0.3724,0.796,0,0.7783,0.4588,0,,,,,,,,,,,
233,Virginia,Republican,Cruz,0.3091,-0.8625,0,0.4939,0.5574,,,,,,,,,,,,,,,
234,Virginia,Republican,Trump,0.636,0.4588,-0.1531,0.4215,-0.8625,-0.8625,-0.8625,0.4404,-0.4497,0.6249,-0.6239,0.1027,0,0.5423,0.4199,0.1471,-0.4939,0,,
235,Washington,Democrat,Clinton,,,,,,,,,,,,,,,,,,,,
236,Washington,Democrat,Sanders,0.6166,0.3802,0,0,0,0.2732,0,,,,,,,,,,,,,
237,Washington,Republican,Rubio,,,,,,,,,,,,,,,,,,,,
238,Washington,Republican,Cruz,,,,,,,,,,,,,,,,,,,,
239,Washington,Republican,Trump,0.6696,0.0516,-0.7579,,,,,,,,,,,,,,,,,
240,West Virginia,Democrat,Clinton,,,,,,,,,,,,,,,,,,,,
241,West Virginia,Democrat,Sanders,0,0,0,0,0,0,0,0,-0.2732,,,,,,,,,,,
242,West Virginia,Republican,Rubio,,,,,,,,,,,,,,,,,,,,
243,West Virginia,Republican,Cruz,,,,,,,,,,,,,,,,,,,,
244,West Virginia,Republican,Trump,0.4574,0.6249,0,0.6249,0,0,0,0.508,0,0,0,,,,,,,,,
245,Wisconsin,Democrat,Clinton,0,0,0.4588,,,,,,,,,,,,,,,,,
246,Wisconsin,Democrat,Sanders,0,0,0.5948,0,0.3802,0,0,0.5696,0,0,0,0,0,0,0.4939,0.4588,0,0.3612,-0.296,0
247,Wisconsin,Republican,Rubio,,,,,,,,,,,,,,,,,,,,
248,Wisconsin,Republican,Cruz,0.2732,0,0,-0.5334,0,-0.7081,-0.6832,,,,,,,,,,,,,
249,Wisconsin,Republican,Trump,0.8779,0,0,0,0,0,-0.4404,0,0,0,0,0,0,0,0,-0.6832,0,0,0,0
250,Wyoming,Democrat,Clinton,,,,,,,,,,,,,,,,,,,,
251,Wyoming,Democrat,Sanders,,,,,,,,,,,,,,,,,,,,
252,Wyoming,Republican,Rubio,,,,,,,,,,,,,,,,,,,,
253,Wyoming,Republican,Cruz,0,,,,,,,,,,,,,,,,,,,
254,Wyoming,Republican,Trump,,,,,,,,,,,,,,,,,,,,
