,State,Primary,Candidate,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19
25,Colorado,Democrat,Clinton,-0.3182,0,0.5307,-0.748,-0.5859,0,0.6041,0,0.5994,0.34,-0.34,0.4404,-0.3054,,,,,,,
26,Colorado,Democrat,Sanders,0.6476,0,0.0433,-0.2003,0.69,0,0,0,0.3182,0.34,0,0.7745,0,0.5974,0,0,0.128,-0.3691,0,0.128
27,Colorado,Republican,Rubio,0.3612,0.9396,0.5499,-0.296,0.6369,0.5487,-0.5141,-0.4442,0.4767,0.5994,-0.3818,-0.7184,0.4404,0.6808,-0.1779,0.1109,0.631,0.0387,0.9017,0
28,Colorado,Republican,Cruz,0.9396,0.5499,-0.7096,0.4019,0.6369,-0.296,0,0,0.6633,0.7485,-0.6652,0,0.4019,0.1109,0.0258,0.3182,0,0.0387,0.9017,-0.2617
29,Colorado,Republican,Trump,0.644,-0.3182,0,-0.6671,0,0,-0.25,0,0,0.3612,-0.4574,0,0,-0.3818,-0.1921,-0.1531,0.34,-0.5574,-0.7096,0.5719
30,Connecticut,Democrat,Clinton,0,0.3612,0,0.7845,0,0,0,0,0,0.296,0,0,0,0,0,-0.34,,,,
31,Connecticut,Democrat,Sanders,0,0.3612,0,-0.3218,0,0.128,0,0,0,0,0.4854,0.4854,0,0,0,0,0,0,0.6369,0
32,Connecticut,Republican,Rubio,,,,,,,,,,,,,,,,,,,,
33,Connecticut,Republican,Cruz,0,0,0,0,,,,,,,,,,,,,,,,
34,Connecticut,Republican,Trump,0,0,0,0,-0.3182,0,-0.3182,0,0.0772,0,0,0,0.7717,-0.7906,,,,,,
35,Delaware,Democrat,Clinton,,,,,,,,,,,,,,,,,,,,
36,Delaware,Democrat,Sanders,,,,,,,,,,,,,,,,,,,,
37,Delaware,Republican,Rubio,,,,,,,,,,,,,,,,,,,,
38,Delaware,Republican,Cruz,,,,,,,,,,,,,,,,,,,,
39,Delaware,Republican,Trump,0.5859,0,0.3182,-0.5574,0.2732,0.5423,,,,,,,,,,,,,,
40,District of Columbia,Democrat,Clinton,,,,,,,,,,,,,,,,,,,,
41,District of Columbia,Democrat,Sanders,,,,,,,,,,,,,,,,,,,,
42,District of Columbia,Republican,Rubio,,,,,,,,,,,,,,,,,,,,
43,District of Columbia,Republican,Cruz,,,,,,,,,,,,,,,,,,,,
44,District of Columbia,Republican,Trump,,,,,,,,,,,,,,,,,,,,
45,Florida,Democrat,Clinton,0.8126,0,0,0,0,-0.5859,-0.3818,0,0,0.5994,0,0,-0.0772,0,0,0,0,0.6784,-0.6924,-0.4019
46,Florida,Democrat,Sanders,0.8741,0.3612,0,0,0,0.128,0.1901,0.8126,0.4404,0,0,0.8213,0.6588,0.6369,0,-0.3818,-0.5859,0,,
47,Florida,Republican,Rubio,0,0,0,0.128,0.4019,0,0,0,0.315,0,0,0,-0.0065,0.8555,0.4574,-0.0258,0,0,0.5399,0.4389
48,Florida,Republican,Cruz,0.6369,0,0,0.4939,0,0,0,0,0,0,0,0,0,0.6597,0,-0.3595,-0.7626,0,0.3182,0.5826
49,Florida,Republican,Trump,0.5719,0,0.5904,-0.6219,0,0.6249,-0.0572,0.5562,0.4404,0,-0.25,0,-0.5106,0,0,-0.2023,0.1901,-0.4404,-0.7351,-0.2755
50,Georgia,Democrat,Clinton,0.0857,0,0,0,0,0.5719,0,0,0,-0.8316,0,0,0,0.6124,-0.7456,-0.3182,0,0,0,0.3182
51,Georgia,Democrat,Sanders,-0.4023,0,0,0,0,0,0,0,0,0,0,0.6696,0,0,0,0.7269,0,-0.0772,0,0
52,Georgia,Republican,Rubio,0,0.0772,0.8225,0.5574,0,0.5,0.7269,-0.6771,0,0,0,0,0,0,0,0,-0.3182,-0.7579,0,-0.5216
53,Georgia,Republican,Cruz,0.7163,-0.565,0,0,0,0.7269,-0.6771,0,0,-0.3182,0,-0.7845,0,0.4278,0.8825,-0.34,0,0.3818,-0.4336,-0.2411
