State,Party,Candidate,min,25th,median,75th,max,mean,avg_size
Kentucky,Republican,Rubio,0,0,0,0,0,0,0
Kentucky,Republican,Cruz,15,15,15,15,15,15,532
Kentucky,Republican,Trump,35,35,35,35,35,35,532
Louisiana,Republican,Trump,38,40.25,42.5,45,48,42.75,1337
Louisiana,Republican,Cruz,21,24.75,26,27.25,31,26,1337
Louisiana,Democrat,Clinton,60,60.25,60.5,60.75,61,60.5,706.5
Louisiana,Democrat,Sanders,14,17.75,21.5,25.25,29,21.5,706.5
Louisiana,Republican,Rubio,0,0,0,0,0,0,0
Maine,Republican,Cruz,0,0,0,0,0,0,0
Maine,Republican,Rubio,0,0,0,0,0,0,0
Maine,Democrat,Sanders,0,0,0,0,0,0,0
Maine,Democrat,Clinton,0,0,0,0,0,0,0
Maine,Republican,Trump,0,0,0,0,0,0,0
Maryland,Republican,Cruz,0,0,0,0,0,0,0
Maryland,Democrat,Clinton,50,55.25,57.5,58,58,55.75,491.75
Maryland,Democrat,Sanders,32,32.75,34.5,38,44,36.25,491.75
Maryland,Republican,Rubio,0,0,0,0,0,0,0
Maryland,Republican,Trump,33,41.5,45,51.5,55,45.33333333,456.3333333
Massachusetts,Republican,Trump,40,43,45,49.25,51.4,45.73333333,379.6666667
Massachusetts,Republican,Rubio,0,0,0,0,0,0,0
Massachusetts,Democrat,Sanders,42,43.7,44,46,49,44.725,573
Massachusetts,Democrat,Clinton,42,46.75,48.5,50,53.9,48.2375,573
Massachusetts,Republican,Cruz,0,0,0,0,0,0,0
Michigan,Republican,Cruz,12,15.5,19,21.225,24,18.44733333,633.8
Michigan,Republican,Rubio,0,0,0,0,0,0,0
Michigan,Republican,Trump,29,35.5,40.89,41,42,38.184,633.8
Michigan,Democrat,Clinton,53,55,57,61,66,58.54545455,437
Michigan,Democrat,Sanders,29,33.5,36,40,44,36.54545455,437
Minnesota,Democrat,Clinton,0,0,0,0,0,0,0
Minnesota,Democrat,Sanders,0,0,0,0,0,0,0
Minnesota,Republican,Rubio,0,0,0,0,0,0,0
Minnesota,Republican,Cruz,0,0,0,0,0,0,0
Minnesota,Republican,Trump,0,0,0,0,0,0,0
Mississippi,Democrat,Sanders,11,11,11,11,11,11,471
Mississippi,Republican,Trump,41,41,41,41,41,41,995
Mississippi,Republican,Cruz,17,17,17,17,17,17,995
Mississippi,Democrat,Clinton,65,65,65,65,65,65,471
Mississippi,Republican,Rubio,0,0,0,0,0,0,0
Missouri,Republican,Cruz,29,29,29,29,29,29,208
Missouri,Republican,Rubio,0,0,0,0,0,0,0
Missouri,Republican,Trump,36,36,36,36,36,36,208
Missouri,Democrat,Sanders,40,40,40,43.5,47,42.33333333,551.3333333
